id;title;niche;platform;currentPrice;shipping;delivery;sellerReputation;reviews;returnPolicy;operationModel;whySell;costTarget;sellTarget;margin;confidence;risk;sourceUrl;googleTrends;metaAdsLibrary;tikTokCreativeCenter;mercadoLivreTendencias
case-ssd-nvme;Case SSD M.2 NVMe USB-C 10Gbps;Armazenamento e upgrades;Mercado Livre / Shopee;"R$59,98 no Mercado Livre; Shopee em torno de R$74,57";"Frete gratis/por cupom em ofertas vistas; prazo depende do vendedor e CEP";"ML local tende a ser mais rapido; Shopee pode variar por vendedor";+5 mil vendidos, 4.8/5 com 463 opinioes, 'Mais vendido' em gavetas para HDs na oferta Inv Tech;Boa prova social para velocidade, praticidade e uso plug-and-play;"Mercado Livre indica Compra Garantida e devolucao gratis quando aplicavel; confirmar oferta final antes de anunciar";Testar afiliado primeiro e depois dropshipping automatizado;Casa muito bem com SSDs, upgrades e clientes que compram PCs usados/revisados.;R$58 a R$75;R$119 a R$139;Margem bruta alvo de R$40 a R$65 antes de trafego e taxas;Alta;Precisa separar NVMe de SATA para evitar compra errada.;https://www.mercadolivre.com.br/case-para-ssd-m2-nvme-externo-usb-c-31-adaptador-nvme-2230-2242-2260-2280-aluminio-m-key-ate-4tb-10gbps-inv-tech/p/MLB29349887;https://trends.google.com/trends/explore?geo=BR&q=Case%20SSD%20M.2%20NVMe%20USB-C%2010Gbps;https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=Case%20SSD%20M.2%20NVMe%20USB-C%2010Gbps&search_type=keyword_unordered&media_type=all;https://ads.tiktok.com/business/creativecenter;https://tendencias.mercadolivre.com.br/Case-SSD-M.2-NVMe-USB-C-10Gbps
case-ssd-sata;Case SSD/HD SATA 2.5 USB 3.0;Armazenamento e manutencao;Mercado Livre;R$22 com opcoes a partir de R$17,50;"Algumas opcoes com frete gratis; envio nacional";"Depende do vendedor; produto local facilita entrega rapida";"+10 mil vendidos, 4.8/5 com 906 opinioes; vendedor MercadoLider em oferta vista";Alta prova social: facil instalacao e bom custo-beneficio;Devolucao gratis em 30 dias na oferta vista e Compra Garantida;Afiliado primeiro, dropshipping automatizado se houver fornecedor estavel;Produto barato, demonstravel em video e perfeito para reaproveitar HD/SSD de notebook.;R$17,50 a R$30;R$49 a R$69;Margem bruta alvo de R$20 a R$35 antes de trafego e taxas;Alta;"Produto comoditizado; diferencial precisa ser conteudo e kit com SSD/limpeza.";https://www.mercadolivre.com.br/case-slim-hd-ssd-adaptador-usb-30-sata-3-externo-6gbps-ps4/p/MLB27786386;https://trends.google.com/trends/explore?geo=BR&q=Case%20SSD/HD%20SATA%202.5%20USB%203.0;https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=Case%20SSD/HD%20SATA%202.5%20USB%203.0&search_type=keyword_unordered&media_type=all;https://ads.tiktok.com/business/creativecenter;https://tendencias.mercadolivre.com.br/Case-SSD/HD-SATA-2.5-USB-3.0
fone-kz-castor;Fone KZ Castor monitor in-ear;Audio gamer e setup;Mercado Livre / Shopee / AliExpress;"R$114 no Mercado Livre; Shopee oficial foi visto em torno de R$109 com cupom";"ML com frete gratis em oferta vista; Shopee pode depender de cupom/importacao";"ML mais rapido; Shopee/AliExpress podem ter prazo maior";"Produto com 4.8/5 e 175 opinioes; uma opcao alternativa ML tinha vendedor com +5 mil vendas";Comentarios destacam graves, clareza, custo-beneficio e uso para jogos/musica;"ML com devolucao gratis/Compra Garantida quando aplicavel; confirmar oferta final";"Afiliado primeiro; dropshipping so com fornecedor oficial/confiavel";Produto quente em TikTok/audio e encaixa bem com setup gamer sem parecer aleatorio no site.;R$95 a R$115;R$149 a R$179;"Margem apertada no afiliado; melhor para conteudo e ticket complementar";Media-alta;"Audio e muito subjetivo; evitar promessa exagerada de qualidade profissional.";https://www.mercadolivre.com.br/fone-kz-castor-audio-monitor-de-palco-alta-fidelidade-cor-cinza-sem-microfone/p/MLB28114243;https://trends.google.com/trends/explore?geo=BR&q=Fone%20KZ%20Castor%20monitor%20in-ear;https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=Fone%20KZ%20Castor%20monitor%20in-ear&search_type=keyword_unordered&media_type=all;https://ads.tiktok.com/business/creativecenter;https://tendencias.mercadolivre.com.br/Fone-KZ-Castor-monitor-in-ear
kit-limpeza-esd;Kit limpeza ESD antiestatico para PC;Limpeza e manutencao;Mercado Livre / Shopee;Ofertas entre cerca de R$21 e R$58 conforme composicao;"Algumas ofertas com frete gratis; verificar cupom/CEP";"Varia por vendedor; kits nacionais tendem a chegar antes";Oferta vista de loja Tapcamp com +100 mil vendas;Sinal positivo por ser acessorio de baixo risco e uso recorrente;Devolucao gratis em 30 dias quando indicada no ML;Dropshipping automatizado com estoque reserva local para combos;Conecta diretamente com a secao de limpeza de PCs e pode virar upsell no checkout.;R$21 a R$35;R$59 a R$89;"Boa margem em kit/combo; trafego frio precisa criativo forte";Alta;"Nao prometer recuperacao de componente; vender como prevencao e cuidado.";https://www.mercadolivre.com.br/kit-limpeza-esd-antiestatico-para-pc-com-5-pecas/p/MLB37963040;https://trends.google.com/trends/explore?geo=BR&q=Kit%20limpeza%20ESD%20antiestatico%20para%20PC;https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=Kit%20limpeza%20ESD%20antiestatico%20para%20PC&search_type=keyword_unordered&media_type=all;https://ads.tiktok.com/business/creativecenter;https://tendencias.mercadolivre.com.br/Kit-limpeza-ESD-antiestatico-para-PC
mini-aspirador-teclado;Mini aspirador USB para teclado e cantos do setup;Limpeza e setup;Mercado Livre / Shopee;R$21,62 na oferta House Tools;"Envio para todo o pais; frete/prazo por CEP";Produto local com vendedor grande tende a ser operacionalmente simples;Loja oficial Costa Atacado, MercadoLider Platinum, +100 mil vendas;"Poucas avaliacoes; review indica que e fraco, mas aceitavel pelo preco";Devolucao gratis indicada na oferta vista;"Afiliado primeiro; dropshipping apenas se qualidade for validada";Criativo de antes/depois funciona bem, mas precisa expectativa honesta.;R$21 a R$30;R$49 a R$69;Margem boa, mas risco de suporte maior se expectativa for mal comunicada;Media;"Potencia limitada; criativo precisa ser honesto para reduzir reclamacao.";https://produto.mercadolivre.com.br/MLB-3409651937-mini-aspirador-de-po-usb-computador-teclado-house-tools-_JM;https://trends.google.com/trends/explore?geo=BR&q=Mini%20aspirador%20USB%20para%20teclado%20e%20cantos%20do%20setup;https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=Mini%20aspirador%20USB%20para%20teclado%20e%20cantos%20do%20setup&search_type=keyword_unordered&media_type=all;https://ads.tiktok.com/business/creativecenter;https://tendencias.mercadolivre.com.br/Mini-aspirador-USB-para-teclado-e-cantos-do-setup
hub-usb-c;Hub USB-C 4 portas para notebook e celular;Conectividade;Mercado Livre / Amazon;R$19,27 em oferta Chrome Technology vista em busca;"Confirmar CEP; produto leve e facil de enviar";Boa opcao para afiliado por marketplaces locais;Loja oficial Chrome Technology em oferta vista;"Produto de necessidade recorrente; validar avaliacoes no link final";"Compra Garantida/marketplace; confirmar na oferta final";Afiliado primeiro;Resolve problema comum de notebook com poucas portas e complementa PCs/notebooks.;R$19 a R$35;R$49 a R$79;Margem razoavel, melhor como produto de volume/remarketing;Media-alta;"Concorrencia alta; diferenciar por curadoria e garantia do marketplace.";https://www.mercadolivre.com.br/hub-usb-type-c-5-gbps-extensor-adaptador-4-portas-usb-30-computador-pc-notebook-celular-smartphone-tablet-chrome-technology/p/MLB54987539;https://trends.google.com/trends/explore?geo=BR&q=Hub%20USB-C%204%20portas%20para%20notebook%20e%20celular;https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=Hub%20USB-C%204%20portas%20para%20notebook%20e%20celular&search_type=keyword_unordered&media_type=all;https://ads.tiktok.com/business/creativecenter;https://tendencias.mercadolivre.com.br/Hub-USB-C-4-portas-para-notebook-e-celular
suporte-gpu-antisag;Suporte anti-sag para placa de video;PC gamer e estetica;Mercado Livre / AliExpress;Ofertas vistas de R$19,90 a R$134,99 conforme marca/RGB;"Frete geralmente simples; confirmar vendedor final";Melhor testar fornecedor nacional ou afiliado antes;"Algumas ofertas tem poucas avaliacoes; precisa escolha cuidadosa";Sinal bom para setups com GPUs pesadas, mas volume menor que cases/hubs;Confirmar devolucao e Compra Garantida na oferta escolhida;Testar afiliado primeiro e so depois dropshipping;Visual forte para criativos e conversa com PCs gamer montados.;"R$19 a R$45 para versao simples; RGB pode passar de R$100";"R$59 a R$99 simples; R$129+ RGB";Boa margem se fornecedor barato e qualidade aceitavel;Media;"Medidas de gabinete variam; incluir guia de compatibilidade.";https://www.mercadolivre.com.br/suporte-de-gpu-anti-sag-com-im-e-almofada-de-borracha/p/MLB2028023362;https://trends.google.com/trends/explore?geo=BR&q=Suporte%20anti-sag%20para%20placa%20de%20video;https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=Suporte%20anti-sag%20para%20placa%20de%20video&search_type=keyword_unordered&media_type=all;https://ads.tiktok.com/business/creativecenter;https://tendencias.mercadolivre.com.br/Suporte-anti-sag-para-placa-de-video
keycaps-pbt;Kit keycaps PBT para teclado mecanico;Personalizacao de setup;Mercado Livre / AliExpress;Ofertas de R$28 a R$130+ conforme quantidade/perfil;"Frete gratis em algumas ofertas; internacional exige atencao a prazo";Afiliado e mais simples ate validar demanda;"Algumas ofertas com +50 vendas; buscar kits com mais prova social antes de anuncio";Boa atratividade visual, mas nicho mais estetico;Confirmar compatibilidade e devolucao na oferta escolhida;Afiliado primeiro;Produto visual para criativos e publico gamer que gosta de customizacao.;R$28 a R$70;R$79 a R$149;Boa margem em dropshipping, mas exige conteudo claro de compatibilidade;Media;Compatibilidade ABNT/ANSI/perfil gera devolucao se nao explicar bem.;https://www.mercadolivre.com.br/keycaps-para-teclados-mecnicos/p/MLB2046713672;https://trends.google.com/trends/explore?geo=BR&q=Kit%20keycaps%20PBT%20para%20teclado%20mecanico;https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=Kit%20keycaps%20PBT%20para%20teclado%20mecanico&search_type=keyword_unordered&media_type=all;https://ads.tiktok.com/business/creativecenter;https://tendencias.mercadolivre.com.br/Kit-keycaps-PBT-para-teclado-mecanico
teclado-mecanico-abnt2;Teclado gamer mecanico RGB ABNT2;Perifericos gamer;Mercado Livre / Amazon / Shopee;"Preco varia bastante; validar SKU final antes de campanha";"Produto maior; frete influencia conversao";Afiliado e mais seguro no inicio;Busca indica bom custo-beneficio, mas tambem relatos de durabilidade a checar;"Demanda alta por ABNT2/RGB; precisa filtrar qualidade";Usar marketplace com politica clara de devolucao e garantia;Afiliado primeiro;"Periferico principal do setup; bom para combos com PCs e anuncios de retargeting.";R$80 a R$180 conforme modelo;"Afiliado: comissao; loja propria so apos fornecedor validado";Melhor como afiliado por reduzir suporte/garantia;Media;Garantia e suporte podem consumir margem se vendido como estoque proprio.;https://www.mercadolivre.com.br/teclado-mecnico-gamer-rgb-abnt2-106-teclas-switch-red-silencioso-anti-ghosting-full-size-com-fio-usb-para-pc-notebook-portugus-brasil/p/MLB65123221;https://trends.google.com/trends/explore?geo=BR&q=Teclado%20gamer%20mecanico%20RGB%20ABNT2;https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=Teclado%20gamer%20mecanico%20RGB%20ABNT2&search_type=keyword_unordered&media_type=all;https://ads.tiktok.com/business/creativecenter;https://tendencias.mercadolivre.com.br/Teclado-gamer-mecanico-RGB-ABNT2
bias-light-led;Fita LED bias lighting USB para monitor;Setup e conforto visual;Mercado Livre / Shopee / AliExpress;"Oferta ML vista indisponivel; buscar fornecedor ativo antes de anunciar";"Produto leve; bom para importacao se prazo for comunicado";Melhor como afiliado/teste ate achar fornecedor ativo;Validacao fraca nesta rodada por oferta indisponivel;Boa ideia visual para criativo, mas precisa fornecedor com estoque;Confirmar devolucao e funcionamento antes de publicar;Testar afiliado primeiro;Produto barato e muito visual, bom para conteudo de setup.;R$15 a R$35;R$49 a R$79;Boa no papel, mas depende de fornecedor ativo e qualidade;Baixa-media;"Fornecedor atual precisa ser trocado; nao subir anuncio antes de validar estoque.";https://www.mercadolivre.com.br/5v-5050-tv-backlight-bias-lighting-usb-flexible-led-lig-1721/p/MLB2042722735;https://trends.google.com/trends/explore?geo=BR&q=Fita%20LED%20bias%20lighting%20USB%20para%20monitor;https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&q=Fita%20LED%20bias%20lighting%20USB%20para%20monitor&search_type=keyword_unordered&media_type=all;https://ads.tiktok.com/business/creativecenter;https://tendencias.mercadolivre.com.br/Fita-LED-bias-lighting-USB-para-monitor
